N#Cc1cccc(CN2C(=O)C(=O)c3cccc(Br)c32)c1
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12
O=C(Nc1cncc2ccccc12)C1=CCCc2ccc(Cl)cc21
CC(C)(C)N1C=CN(C(C)(C)C)C1[Au]Cl
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12
C[C@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
N#C/C(C(=O)Nc1ccc(F)cc1)=C(/O)c1ccc(Cl)cc1
O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCCc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCCc2ccc(Cl)cc21
C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
O=C(CCl)N1CCN(C(c2ccccc2)c2ccccc2)CC1
CC(C)(C)c1ccc(N(C(=O)c2ccco2)[C@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1
COc1ccc(C2CC(c3ccccc3)=NN2C(=O)CCl)cc1OC
O=C(Nc1cncc2ccccc12)C1CCOc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCOc2ccc(Cl)cc21
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
O=C(CCl)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1
O=C(CCl)N1CCN(S(=O)(=O)C2=CC[SH]=C2)CC1
O=C(CCl)N1CCN(S(=O)(=O)c2ccsc2)CC1
O=C1C(=O)N(Cc2ccc(Br)cc2)c2c(Br)cccc21
O=C(Cc1cc(Cl)cc2c1OCC2)Nc1cncc2ccccc12
O=C(Nc1cncc2ccccc12)C1COc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1COc2ccc(Cl)cc21
CC(C)(C)c1ccc(N(C(=O)c2ccc(Cl)o2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
CC(C)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1
C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
CC(NC(=O)CCl)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1
COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1
COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1
O=C(CCl)N1CCN(C(c2ccccc2)C2CCCCC2)CC1
O=C(CCl)N1CC2CC1CN2Cc1cccc(Cl)c1
COc1ccc(Cl)cc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12
O=C1OC(c2cccs2)=N/C1=C\c1ccc(N2CCOCC2)s1
Cc1c(C(=O)CCl)c2ccccn2c1C(=O)c1ccc(F)cc1
Cc1c(C(=O)CCl)c2ccccn2c1C(=O)c1ccc(F)cc1
O=C(Nc1cncc2ccccc12)C1CCNc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCNc2ccc(Cl)cc21
O=C1C(=O)N(Cc2ccc(Br)cc2)c2ccccc21
CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2Cc2ccccc2)n1
NS(=O)(=O)CCc1ccccc1CN1CCN(C(=O)CCl)CC1
CN(C)c1ccc(N(Cc2ccsc2)C(=O)Cc2cncc3ccccc23)cc1
O=C1C(c2cccc(Cl)c2)CCN1c1cncc2ccccc12
O=C1C(c2cccc(Cl)c2)CCN1c1cncc2ccccc12
O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1
O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC
O=C(Nc1cncc2ccccc12)N(CCC1CCCCC1)c1cccc(Cl)c1
O=C(Nc1cncc2ccccc12)N(CCC1CCCCC1)c1cccc(Cl)c1
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12
CC(C)(C)c1ccc(N(C(=O)c2ccco2)[C@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
Cc1ccncc1C(C(=O)NCCc1cccc(F)c1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1
O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
C[C@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
O=C(Nc1cncc2ccccc12)C1=CCCc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCNc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCNc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)N(CCC1CCCCC1)c1cccc(Cl)c1
O=C(Nc1cncc2ccccc12)N(CCC1CCCCC1)c1cccc(Cl)c1
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C2CCCC2)cc1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C2CCCC2)cc1
C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CN(C)c1ccc(N(Cc2ccsc2)C(=O)Cc2cncc3ccccc23)cc1
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
CC(C)(C)c1ccc(N(C(=O)c2ccc(Cl)o2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
O=C(Nc1cncc2ccccc12)C1CCCc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCCc2ccc(Cl)cc21
OCCn1c(CSc2nc3ccccc3o2)nc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCOc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCOc2ccc(Cl)cc21
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cncc3ccccc23)cc1
CC(NC(=O)CCl)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1
CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2Cc2ccccc2)n1
CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1
CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1
CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1
COc1ccc(C2CC(c3ccccc3)=NN2C(=O)CCl)cc1OC
CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
O=C(Nc1nncn1C1CC1)C1CCOc2ccc(Cl)cc21
CC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1
C[C@@H]1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
C[C@@H]1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
O=C1OC(c2cccs2)=N/C1=C\c1ccc(N2CCOCC2)s1
Cc1c(C(=O)CCl)c2ccccn2c1C(=O)c1ccc(F)cc1
Cc1c(C(=O)CCl)c2ccccn2c1C(=O)c1ccc(F)cc1
O=C(Cc1cccc(Cl)c1)Nc1cncc2ccccc12
CSC1=C(C#N)C2(CCCCC2)C(C#N)=C(NC(=O)CCl)N1
CSC1=C(C#N)C2(CCCCC2)C(C#N)=C(NC(=O)CCl)N1
O=C(Nc1cncc2ccccc12)C1COc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1COc2ccc(Cl)cc21
CC(C)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1
CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
O=C(Nc1cncc2ccccc12)C1CCOc2ccc(Br)cc21
COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1
COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1
CN(C)S(=O)(=O)c1cccc(C(=O)Nc2c(-c3ccccc3)nc3sccn23)c1
CN(C)S(=O)(=O)c1cccc(C(=O)Nc2c(-c3ccccc3)nc3sccn23)c1
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12
CC(C)(C)c1ccc(N(C(=O)c2ccco2)[C@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
Cc1ccncc1C(C(=O)NCCc1cccc(F)c1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1
O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
C[C@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
O=C(Nc1cncc2ccccc12)C1=CCCc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCNc2ccc(Cl)cc21
O=C(Nc1cncc2ccccc12)C1CCNc2ccc(Cl)cc21
